"","Team","Accuracy","Sensitivity","Specificity","Group","team_id","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logos","venue_id","venue_name","city","state","zip","country_code","timezone","latitude","longitude","elevation","capacity","year_constructed","grass","dome"
"57","Arkansas","0.59","0.57","0.62","3",8,"Razorbacks","ARK",NA,"ARK","Arkansas","SEC","West","#9c1831","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png",3887,"Donald W. Reynolds Razorback Stadium Frank Broyles Field","Fayetteville","AR","72702","US","America/Chicago",36.0680662,-94.1789534,"403.7972412",80000,1938,FALSE,FALSE
"58","Auburn","0.7","0.74","0.65","3",2,"Tigers","AUB",NA,"AUB","Auburn","SEC","West","#03244d","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png",3785,"Jordan-Hare Stadium","Auburn","AL","36849","US","America/Chicago",32.6025532,-85.4897479,"201.1737976",87451,1939,TRUE,FALSE
"59","Ball State","0.69","0.77","0.57","3",2050,"Cardinals","BALL",NA,"BALL","Ball State","Mid-American","West","#DA0000","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png",3919,"Scheumann Stadium","Muncie","IN","47306","US","America/Indiana/Indianapolis",40.2159422,-85.4161148,"285.481781",22500,1967,FALSE,FALSE
"60","Central Michigan","0.64","0.67","0.59","3",2117,"Chippewas","CMU",NA,"CMU","Cent Michigan","Mid-American","West","#6a0032","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png",3786,"Kelly/Shorts Stadium","Mount Pleasant","MI","48859","US","America/Detroit",43.5777313,-84.7709904,"240.9007721",30255,1972,FALSE,FALSE
"61","Charlotte","0.65","0.74","0.55","3",2429,"49ers","CHAR",NA,"CHAR","Charlotte","Conference USA","East","#cfab7a","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png",4418,"Jerry Richardson Stadium","Charlotte","NC","28223","US","America/New_York",35.3105033,-80.7401194,"190.365509",15300,2013,FALSE,FALSE
"62","Coastal Carolina","0.63","0.85","0.32","3",324,"Chanticleers","CCU",NA,"CCU","C. Carolina","Sun Belt",NA,"#007073","#876447","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png",3654,"Brooks Stadium","Conway","SC","29528","US","America/New_York",33.7928506,-79.0166946,"13.74894905",21000,2003,FALSE,FALSE
"63","Colorado State","0.69","0.62","0.77","3",36,"Rams","CSU",NA,"CSU","Colorado State","Mountain West","Mountain","#004537","#ffc425","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png",3761,"Sonny Lubick Field at Hughes Stadium","Fort Collins","CO","80526","US","America/Denver",40.5621183,-105.1416248,"1574.920898",34400,1968,FALSE,FALSE
"64","Duke","0.68","0.73","0.63","3",150,"Blue Devils","DUKE",NA,"DUKE","Duke","ACC","Coastal","#001A57","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png",3982,"Wallace Wade Stadium","Durham","NC","27708","US","America/New_York",35.9953688,-78.9417564,"103.0028152",40004,1929,FALSE,FALSE
"65","Fresno State","0.66","0.62","0.69","3",278,"Bulldogs","FRES",NA,"FRES","Fresno State","Mountain West","West","#c41230","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png",3660,"Bulldog Stadium","Fresno","CA","93740","US","America/Los_Angeles",36.8143527,-119.7580092,"102.564064",41031,1980,FALSE,FALSE
"66","Georgia Southern","0.78","0.91","0.33","3",290,"Eagles","GASO",NA,"GASO","Ga Southern","Sun Belt",NA,"#003775","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/290.png",3608,"Paulson Stadium","Statesboro","GA","30460","US","America/New_York",32.4122471,-81.7849296,"61.25376892",25000,1984,FALSE,FALSE
"67","Georgia State","0.69","0.8","0.5","3",2247,"Panthers","GAST",NA,"GAST","Georgia State","Sun Belt",NA,"#1e539a","#ebebeb","http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png",3495,"Georgia Dome","Atlanta","GA","39901","US","America/New_York",33.7576897,-84.4008285,"303.1637268",74228,1992,FALSE,FALSE
"68","Indiana","0.71","0.72","0.7","3",84,"Hoosiers","IND",NA,"IND","Indiana","Big Ten","East","#7D110C","#eeedeb","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png",3830,"Memorial Stadium","Bloomington","IN","47408","US","America/Indiana/Indianapolis",39.1808959,-86.5256217,"231.6500854",52656,1960,FALSE,FALSE
